0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2m,0,0,0,0,0,2m,0,0,0,0,0,2m,0,d,0,0,2m,0,0,0,0,0,2m,0,0,0,0,0,2m,0
0,0,2m,0,3m,3m,3m,0,2m,0,3m,3m,3m,0,2m,0,d,0,0,2m,0,3m,3m,3m,0,2m,0,3m,3m,3m,0,2m,0
0,2m,0,2m,0,0,0,2m,0,2m,0,0,0,2m,0,0,d,0,2m,0,2m,0,0,0,2m,0,2m,0,0,0,2m,0,0
0,2m,0,2m,0,0,0,2m,0,2m,0,0,0,2m,0,0,d,0,2m,0,2m,0,0,0,2m,0,2m,0,0,0,2m,0,0
0,0,2m,0,3m,3m,3m,0,2m,0,3m,3m,3m,0,2m,0,d,0,0,2m,0,3m,3m,3m,0,2m,0,3m,3m,3m,0,2m,0
0,0,2m,0,0,0,0,0,2m,0,0,0,0,0,2m,0,d,0,0,2m,0,0,0,0,0,2m,0,0,0,0,0,2m,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,d,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0
0,0,2,0,3,3,3,0,2,0,3,3,3,0,2,0,d,0,0,2,0,3,3,3,0,2,0,3,3,3,0,2,0
0,2,0,2,0,0,0,2,0,2,0,0,0,2,0,0,d,0,2,0,2,0,0,0,2,0,2,0,0,0,2,0,0
0,2,0,2,0,0,0,2,0,2,0,0,0,2,0,0,d,0,2,0,2,0,0,0,2,0,2,0,0,0,2,0,0
0,0,2,0,3,3,3,0,2,0,3,3,3,0,2,0,d,0,0,2,0,3,3,3,0,2,0,3,3,3,0,2,0
0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,d,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
