,,,,,,,,,,,,,,,,d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,10,0,0,0,0,0,0,0,0,0,,,,d,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
,,,10,9,0,0,0,0,0,0,0,0,,,,d,0,0,0,10,9,0,0,0,0,0,0,0,0,0,0,0
,,,10,9,8,0,0,0,0,0,0,0,,,,d,0,0,0,10,9,8,0,0,0,0,0,0,0,0,0,0
,,,10,9,8,7,0,0,0,0,0,0,,,,d,0,0,0,10,9,8,7,0,0,0,0,0,0,0,0,0
,,,10,9,8,7,6,0,0,0,0,0,,,,d,0,0,0,10,9,8,7,6,0,0,0,0,0,0,0,0
,,,10,9,8,7,6,5,0,0,0,0,,,,d,0,0,0,10,9,8,7,6,5,0,0,0,0,0,0,0
,,,10,9,8,7,6,5,4,0,0,0,,,,d,0,0,0,10,9,8,7,6,5,4,0,0,0,0,0,0
,,,10,9,8,7,6,5,4,3,0,0,,,,d,0,0,0,10,9,8,7,6,5,4,3,0,0,0,0,0
,,,10,9,8,7,6,5,4,3,2,0,,,,d,0,0,0,10,9,8,7,6,5,4,3,2,0,0,0,0
,,,10,9,8,7,6,5,4,3,2,1,,,,d,0,0,0,10,9,8,7,6,5,4,3,2,1,0,0,0
,,,,,,,,,,,,,,,,d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
